,path,emotion
0,data/emodb/wav\03a01Nc.wav,neutral
1,data/emodb/wav\03a02Nc.wav,neutral
2,data/emodb/wav\03a04Ad.wav,fear
3,data/emodb/wav\03a04Nc.wav,neutral
4,data/emodb/wav\03a05Aa.wav,fear
5,data/emodb/wav\03a05Nd.wav,neutral
6,data/emodb/wav\03a07Nc.wav,neutral
7,data/emodb/wav\03b01Nb.wav,neutral
8,data/emodb/wav\03b02Aa.wav,fear
9,data/emodb/wav\03b02Na.wav,neutral
10,data/emodb/wav\03b03Nb.wav,neutral
11,data/emodb/wav\03b09Nc.wav,neutral
12,data/emodb/wav\03b10Ab.wav,fear
13,data/emodb/wav\03b10Na.wav,neutral
14,data/emodb/wav\03b10Nc.wav,neutral
15,data/emodb/wav\08a01Ab.wav,fear
16,data/emodb/wav\08a01Na.wav,neutral
17,data/emodb/wav\08a02Ab.wav,fear
18,data/emodb/wav\08a02Ac.wav,fear
19,data/emodb/wav\08a02Na.wav,neutral
20,data/emodb/wav\08a04Nc.wav,neutral
21,data/emodb/wav\08a05Nb.wav,neutral
22,data/emodb/wav\08a07Na.wav,neutral
23,data/emodb/wav\08b01Aa.wav,fear
24,data/emodb/wav\08b01Na.wav,neutral
25,data/emodb/wav\08b02Nb.wav,neutral
26,data/emodb/wav\08b03Nb.wav,neutral
27,data/emodb/wav\08b09Ab.wav,fear
28,data/emodb/wav\08b09Nb.wav,neutral
29,data/emodb/wav\08b10Aa.wav,fear
30,data/emodb/wav\08b10Nc.wav,neutral
31,data/emodb/wav\09a01Nb.wav,neutral
32,data/emodb/wav\09a04Nb.wav,neutral
33,data/emodb/wav\09a05Nb.wav,neutral
34,data/emodb/wav\09a07Na.wav,neutral
35,data/emodb/wav\09b01Na.wav,neutral
36,data/emodb/wav\09b02Na.wav,neutral
37,data/emodb/wav\09b03Nb.wav,neutral
38,data/emodb/wav\09b09Nd.wav,neutral
39,data/emodb/wav\09b10Aa.wav,fear
40,data/emodb/wav\09b10Nd.wav,neutral
41,data/emodb/wav\10a01Ac.wav,fear
42,data/emodb/wav\10a01Nb.wav,neutral
43,data/emodb/wav\10a02Ab.wav,fear
44,data/emodb/wav\10a02Na.wav,neutral
45,data/emodb/wav\10a04Nb.wav,neutral
46,data/emodb/wav\10a05Aa.wav,fear
47,data/emodb/wav\10a07Aa.wav,fear
48,data/emodb/wav\10a07Ad.wav,fear
49,data/emodb/wav\10b01Aa.wav,fear
50,data/emodb/wav\10b02Aa.wav,fear
51,data/emodb/wav\10b02Na.wav,neutral
52,data/emodb/wav\10b09Ad.wav,fear
53,data/emodb/wav\11a01Aa.wav,fear
54,data/emodb/wav\11a01Ab.wav,fear
55,data/emodb/wav\11a01Nd.wav,neutral
56,data/emodb/wav\11a02Nc.wav,neutral
57,data/emodb/wav\11a04Ac.wav,fear
58,data/emodb/wav\11a04Nd.wav,neutral
59,data/emodb/wav\11a05Ad.wav,fear
60,data/emodb/wav\11a05Na.wav,neutral
61,data/emodb/wav\11a07Ac.wav,fear
62,data/emodb/wav\11b01Ab.wav,fear
63,data/emodb/wav\11b01Nc.wav,neutral
64,data/emodb/wav\11b02Ab.wav,fear
65,data/emodb/wav\11b02Na.wav,neutral
66,data/emodb/wav\11b03Nb.wav,neutral
67,data/emodb/wav\11b09Ad.wav,fear
68,data/emodb/wav\11b09Na.wav,neutral
69,data/emodb/wav\11b10Ad.wav,fear
70,data/emodb/wav\11b10Ae.wav,fear
71,data/emodb/wav\11b10Nc.wav,neutral
72,data/emodb/wav\12a01Nb.wav,neutral
73,data/emodb/wav\12a02Ac.wav,fear
74,data/emodb/wav\12a02Nb.wav,neutral
75,data/emodb/wav\12a05Ab.wav,fear
76,data/emodb/wav\12a05Nd.wav,neutral
77,data/emodb/wav\12a07Ac.wav,fear
78,data/emodb/wav\12b02Ad.wav,fear
79,data/emodb/wav\12b02Na.wav,neutral
80,data/emodb/wav\12b09Ac.wav,fear
81,data/emodb/wav\12b10Ac.wav,fear
82,data/emodb/wav\13a01Ac.wav,fear
83,data/emodb/wav\13a01Nb.wav,neutral
84,data/emodb/wav\13a02Ad.wav,fear
85,data/emodb/wav\13a02Nc.wav,neutral
86,data/emodb/wav\13a04Ac.wav,fear
87,data/emodb/wav\13a05Aa.wav,fear
88,data/emodb/wav\13a05Nb.wav,neutral
89,data/emodb/wav\13a07Na.wav,neutral
90,data/emodb/wav\13b01Ab.wav,fear
91,data/emodb/wav\13b01Nc.wav,neutral
92,data/emodb/wav\13b02Nb.wav,neutral
93,data/emodb/wav\13b03Ac.wav,fear
